image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"101084","101084-3",0.0697534,0.859224,0.903261,0.14617,0.136923,42.8772,0.930247,1576.75,290.009,0.104448,0.849892,0.579926,35.9322,0.416027,0.40713,500,308.802,268.322
"101084","101084-4",0.0362757,0.925694,0.939132,0.0872492,0.0718324,60.826,0.963724,1576.75,290.009,0.104448,0.849892,0.462126,35.9322,0.416027,0.40713,500,308.802,268.322
"102062","102062-0",0.0689957,0.90331,0.891496,0.107077,0.136178,41.0389,0.931004,1977.23,257.357,0.100546,0.762602,0.625432,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-1",0.0613597,0.915836,0.884926,0.0959741,0.121282,33.1625,0.93864,1977.23,257.357,0.100546,0.762602,0.65993,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-2",0.0244234,0.972351,0.930866,0.0360507,0.0482898,13.5337,0.975577,1977.23,257.357,0.100546,0.762602,0.50406,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-3",0.0504595,0.930292,0.89694,0.0631326,0.100245,35.1504,0.94954,1977.23,257.357,0.100546,0.762602,0.557121,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-4",0.0771627,0.884152,0.91582,0.127539,0.1486,34.149,0.922837,1977.23,257.357,0.100546,0.762602,0.51125,38.7803,0.415354,0.175142,500,308.802,263.652
"103006","103006-0",0.0275711,0.971127,0.909738,0.0417849,0.0551421,0.371666,0.972429,1224.96,210.092,0.123649,0.901573,0.567303,29.9271,0.383003,0.189935,500,308.802,250.168
"103006","103006-1",0.02704,0.975518,0.896417,0.0394814,0.05408,0.230204,0.97296,1224.96,210.092,0.123649,0.901573,0.626758,29.9271,0.383003,0.189935,500,308.802,250.168
"103006","103006-2",0.0612366,0.928407,0.869837,0.102578,0.121975,68.1695,0.938763,1224.96,210.092,0.123649,0.901573,0.758362,29.9271,0.383003,0.189935,500,308.802,250.168
"103006","103006-3",0.0427329,0.957423,0.887994,0.0590472,0.0846756,1.88077,0.957267,1224.96,210.092,0.123649,0.901573,0.668677,29.9271,0.383003,0.189935,500,308.802,250.168
"103006","103006-4",0.0309972,0.969612,0.896005,0.0486051,0.0619944,213.44,0.969003,1224.96,210.092,0.123649,0.901573,0.639709,29.9271,0.383003,0.189935,500,308.802,250.168
"103029","103029-0",0.0414829,0.945156,0.877528,0.0869932,0.0828622,5.43011,0.958517,253.629,236.606,0.139298,0.934028,0.665595,12.2959,0.354227,0.205364,500,308.802,285.386
"103029","103029-1",0.0144753,0.973698,0.951386,0.0491471,0.0289506,0.361578,0.985525,253.629,236.606,0.139298,0.934028,0.391125,12.2959,0.354227,0.205364,500,308.802,285.386
"103029","103029-2",0.0423054,0.948433,0.86489,0.0880081,0.0845137,28.4206,0.957695,253.629,236.606,0.139298,0.934028,0.726868,12.2959,0.354227,0.205364,500,308.802,285.386
"103029","103029-3",0.0415606,0.95,0.873891,0.0679163,0.0830953,1.24327,0.958439,253.629,236.606,0.139298,0.934028,0.682969,12.2959,0.354227,0.205364,500,308.802,285.386
"103029","103029-4",0.0182447,0.96478,0.915725,0.0526228,0.0364894,54.6311,0.981755,253.629,236.606,0.139298,0.934028,0.526172,12.2959,0.354227,0.205364,500,308.802,285.386
"103078","103078-0",0.042014,0.930551,0.892579,0.100117,0.0839697,7.19349,0.957986,829.266,324.042,0.111134,0.93114,0.622796,23.9804,0.402899,0.180556,500,308.802,271.48
"103078","103078-1",0.036334,0.939631,0.925661,0.0959033,0.0726679,53.1973,0.963666,829.266,324.042,0.111134,0.93114,0.520619,23.9804,0.402899,0.180556,500,308.802,271.48
"103078","103078-2",0.03715,0.938699,0.900604,0.0883632,0.0743,35.8689,0.96285,829.266,324.042,0.111134,0.93114,0.609212,23.9804,0.402899,0.180556,500,308.802,271.48
"103078","103078-3",0.0357964,0.926186,0.932273,0.101163,0.0715928,22.4272,0.964204,829.266,324.042,0.111134,0.93114,0.485129,23.9804,0.402899,0.180556,500,308.802,271.48
"103078","103078-4",0.0256216,0.954463,0.885251,0.0471012,0.0512432,100.486,0.974378,829.266,324.042,0.111134,0.93114,0.655763,23.9804,0.402899,0.180556,500,308.802,271.48
"104010","104010-0",0.0626745,0.950298,0.805695,0.0906164,0.122357,239.759,0.937326,765.79,319.33,0.116708,0.771594,0.940096,23.6276,0.387452,0.437156,503,306.96,322.933
"104010","104010-1",0.0495852,0.9657,0.808444,0.0484561,0.0991703,1.14179,0.950415,765.79,319.33,0.116708,0.771594,0.877328,23.6276,0.387452,0.437156,503,306.96,322.933
"104010","104010-2",0.0675125,0.940266,0.781855,0.117931,0.132551,109.21,0.932487,765.79,319.33,0.116708,0.771594,1.05954,23.6276,0.387452,0.437156,503,306.96,322.933
