image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"100007","100007-0",0.0150452,0.892281,0.962645,0.0544651,0.0300905,0.735347,0.984955,232.185,2472.97,0.0569732,0.971336,0.323441,12.3653,0.383229,0.138193,250,617.604,973.331
"100007","100007-1",0.0162046,0.881704,0.968391,0.0703512,0.0324091,3.52393,0.983795,232.185,2472.97,0.0569732,0.971336,0.288003,12.3653,0.383229,0.138193,250,617.604,973.331
"100007","100007-2",0.0377912,0.862915,0.93105,0.106055,0.0755824,1.62213,0.962209,232.185,2472.97,0.0569732,0.971336,0.437541,12.3653,0.383229,0.138193,250,617.604,973.331
"100007","100007-3",0.0375127,0.870836,0.933494,0.0880852,0.0714179,35.8016,0.962487,232.185,2472.97,0.0569732,0.971336,0.416053,12.3653,0.383229,0.138193,250,617.604,973.331
"100007","100007-4",0.0392679,0.849638,0.962987,0.130969,0.0784451,86.7642,0.960732,232.185,2472.97,0.0569732,0.971336,0.298616,12.3653,0.383229,0.138193,250,617.604,973.331
"100039","100039-0",0.0500968,0.833356,0.736748,0.0710374,0.0918323,610.405,0.949903,1973.79,1120.26,0.0702797,0.772595,1.64719,35.2678,0.304868,0.173713,254,607.878,1154.49
"100039","100039-1",0.173457,0.71052,0.692452,0.161107,0.320723,206.514,0.826543,1973.79,1120.26,0.0702797,0.772595,1.71584,35.2678,0.304868,0.173713,254,607.878,1154.49
"100039","100039-2",0.0197926,0.842676,0.831336,0.0386668,0.0395852,0.72845,0.980207,1973.79,1120.26,0.0702797,0.772595,0.813924,35.2678,0.304868,0.173713,254,607.878,1154.49
"100039","100039-3",0.0222732,0.842423,0.853883,0.041765,0.0445463,251.678,0.977727,1973.79,1120.26,0.0702797,0.772595,0.870424,35.2678,0.304868,0.173713,254,607.878,1154.49
"100039","100039-4",0.0915214,0.776096,0.75,0.110935,0.174099,29.0764,0.908479,1973.79,1120.26,0.0702797,0.772595,1.43324,35.2678,0.304868,0.173713,254,607.878,1154.49
"100099","100099-0",0.0264247,0.899223,0.915489,0.076466,0.0528105,9.07302,0.973575,208.912,1041.21,0.0840769,0.96142,0.541444,12.4519,0.315115,0.168064,250,617.604,800.542
"100099","100099-1",0.0374544,0.909327,0.843771,0.080987,0.0749088,5.44986,0.962546,208.912,1041.21,0.0840769,0.96142,0.809122,12.4519,0.315115,0.168064,250,617.604,800.542
"100099","100099-2",0.0290672,0.914217,0.914497,0.0598645,0.0581343,0.544409,0.970933,208.912,1041.21,0.0840769,0.96142,0.561635,12.4519,0.315115,0.168064,250,617.604,800.542
"100099","100099-3",0.0376746,0.88866,0.899108,0.0768774,0.0751355,1.15631,0.962325,208.912,1041.21,0.0840769,0.96142,0.596854,12.4519,0.315115,0.168064,250,617.604,800.542
"100099","100099-4",0.0407186,0.907352,0.876184,0.0758703,0.080835,2.09516,0.959281,208.912,1041.21,0.0840769,0.96142,0.68914,12.4519,0.315115,0.168064,250,617.604,800.542
"10081","10081-0",0.0362044,0.827326,0.913439,0.0994338,0.0691252,80.9399,0.963796,618.236,4767.21,0.0671012,0.910441,0.653089,17.6113,0.336183,0.157532,251,615.143,1135.82
"10081","10081-1",0.0258418,0.855053,0.906595,0.0597232,0.0513922,115.947,0.974158,618.236,4767.21,0.0671012,0.910441,0.659756,17.6113,0.336183,0.157532,251,615.143,1135.82
"10081","10081-2",0.0210685,0.844269,0.920872,0.0471955,0.0395593,1.5291,0.978931,618.236,4767.21,0.0671012,0.910441,0.682754,17.6113,0.336183,0.157532,251,615.143,1135.82
"10081","10081-3",0.0310296,0.825552,0.855216,0.0608595,0.0596434,93.6398,0.96897,618.236,4767.21,0.0671012,0.910441,0.875623,17.6113,0.336183,0.157532,251,615.143,1135.82
"10081","10081-4",0.043115,0.805487,0.924528,0.104274,0.0827844,108.307,0.956885,618.236,4767.21,0.0671012,0.910441,0.55439,17.6113,0.336183,0.157532,251,615.143,1135.82
"101027","101027-0",0.047422,0.8414,0.891141,0.0825667,0.0948375,11.9147,0.952578,1647.97,1145.93,0.0615328,0.853762,0.621677,28.6636,0.312576,0.169429,252,612.702,1162.67
"101027","101027-1",0.0544815,0.808544,0.864509,0.0841736,0.108892,135.318,0.945518,1647.97,1145.93,0.0615328,0.853762,0.76277,28.6636,0.312576,0.169429,252,612.702,1162.67
"101027","101027-2",0.0682962,0.819638,0.755997,0.0653485,0.136528,293.09,0.931704,1647.97,1145.93,0.0615328,0.853762,1.30298,28.6636,0.312576,0.169429,252,612.702,1162.67
"101027","101027-3",0.0575773,0.788382,0.874608,0.0765238,0.115135,256.121,0.942423,1647.97,1145.93,0.0615328,0.853762,0.724041,28.6636,0.312576,0.169429,252,612.702,1162.67
"101027","101027-4",0.0438792,0.857967,0.904961,0.077759,0.0877585,20.4791,0.956121,1647.97,1145.93,0.0615328,0.853762,0.61465,28.6636,0.312576,0.169429,252,612.702,1162.67
"101084","101084-0",0.0267615,0.838634,0.94233,0.0863198,0.0519297,1.22796,0.973239,1892.47,1026.36,0.0825941,0.819503,0.441049,38.5686,0.314545,0.387926,255,605.494,928.225
"101084","101084-1",0.0333741,0.832799,0.909578,0.104071,0.0651421,108.613,0.966626,1892.47,1026.36,0.0825941,0.819503,0.565608,38.5686,0.314545,0.387926,255,605.494,928.225
"101084","101084-2",0.0284907,0.825364,0.934219,0.0878341,0.0557898,38.9403,0.971509,1892.47,1026.36,0.0825941,0.819503,0.51488,38.5686,0.314545,0.387926,255,605.494,928.225
"101084","101084-3",0.105576,0.710844,0.829604,0.17634,0.209377,220.394,0.894424,1892.47,1026.36,0.0825941,0.819503,0.964414,38.5686,0.314545,0.387926,255,605.494,928.225
"101084","101084-4",0.0505178,0.816465,0.899879,0.110432,0.101036,336.586,0.949482,1892.47,1026.36,0.0825941,0.819503,0.611097,38.5686,0.314545,0.387926,255,605.494,928.225
"102062","102062-0",0.0995525,0.767333,0.828312,0.129642,0.17904,102.918,0.900448,2382.79,1762,0.0644099,0.713867,0.882158,42.2878,0.317556,0.166772,256,603.129,1117.81
"102062","102062-1",0.0905435,0.78881,0.815793,0.115027,0.161489,160.683,0.909457,2382.79,1762,0.0644099,0.713867,0.938262,42.2878,0.317556,0.166772,256,603.129,1117.81
"102062","102062-2",0.0359389,0.907397,0.869866,0.0440386,0.0718778,74.3603,0.964061,2382.79,1762,0.0644099,0.713867,0.7136,42.2878,0.317556,0.166772,256,603.129,1117.81
"102062","102062-3",0.0745397,0.808356,0.834158,0.0767066,0.136625,79.0205,0.92546,2382.79,1762,0.0644099,0.713867,0.772291,42.2878,0.317556,0.166772,256,603.129,1117.81
"102062","102062-4",0.114131,0.752379,0.829561,0.150261,0.203166,146.94,0.885869,2382.79,1762,0.0644099,0.713867,0.846916,42.2878,0.317556,0.166772,256,603.129,1117.81
"103006","103006-0",0.0629011,0.900007,0.855056,0.0530634,0.125802,0.774436,0.937099,1421.94,1114.27,0.0905822,0.885475,1.01567,32.8479,0.283774,0.186626,253,610.281,977.59
"103006","103006-1",0.0627846,0.905078,0.812695,0.0482822,0.125569,0.535291,0.937215,1421.94,1114.27,0.0905822,0.885475,1.1529,32.8479,0.283774,0.186626,253,610.281,977.59
"103006","103006-2",0.0897986,0.813181,0.801932,0.127549,0.179099,185.343,0.910201,1421.94,1114.27,0.0905822,0.885475,1.11009,32.8479,0.283774,0.186626,253,610.281,977.59
"103006","103006-3",0.0838013,0.861044,0.837578,0.075165,0.166812,8.91518,0.916199,1421.94,1114.27,0.0905822,0.885475,1.05252,32.8479,0.283774,0.186626,253,610.281,977.59
"103006","103006-4",0.0667288,0.884016,0.847495,0.062069,0.133458,1163.16,0.933271,1421.94,1114.27,0.0905822,0.885475,0.995839,32.8479,0.283774,0.186626,253,610.281,977.59
"103029","103029-0",0.0698312,0.848408,0.824041,0.104873,0.139662,11.4133,0.930169,363.163,977.075,0.0964262,0.905143,0.856579,13.6794,0.274979,0.192595,263,587.076,997.99
"103029","103029-1",0.0304985,0.914748,0.92942,0.0617878,0.060997,0.709853,0.969501,363.163,977.075,0.0964262,0.905143,0.497804,13.6794,0.274979,0.192595,263,587.076,997.99
"103029","103029-2",0.0705112,0.852507,0.823897,0.107655,0.140925,87.7366,0.929489,363.163,977.075,0.0964262,0.905143,0.883843,13.6794,0.274979,0.192595,263,587.076,997.99
"103029","103029-3",0.075278,0.85105,0.8269,0.0825317,0.150556,3.90305,0.924722,363.163,977.075,0.0964262,0.905143,0.856516,13.6794,0.274979,0.192595,263,587.076,997.99
"103029","103029-4",0.0393132,0.905273,0.882144,0.0651718,0.0772145,645.671,0.960687,363.163,977.075,0.0964262,0.905143,0.640985,13.6794,0.274979,0.192595,263,587.076,997.99
"103078","103078-0",0.0739956,0.836698,0.80867,0.118604,0.146696,11.641,0.926004,1039.7,1009.33,0.0820399,0.913402,1.12624,25.8223,0.306494,0.172791,253,610.281,896.757
"103078","103078-1",0.0649801,0.86706,0.884591,0.12032,0.12996,254.409,0.93502,1039.7,1009.33,0.0820399,0.913402,0.661433,25.8223,0.306494,0.172791,253,610.281,896.757
"103078","103078-2",0.0630048,0.862378,0.808261,0.103797,0.123225,248.571,0.936995,1039.7,1009.33,0.0820399,0.913402,1.22419,25.8223,0.306494,0.172791,253,610.281,896.757
"103078","103078-3",0.0667288,0.809613,0.864852,0.123083,0.133458,205.627,0.933271,1039.7,1009.33,0.0820399,0.913402,0.718538,25.8223,0.306494,0.172791,253,610.281,896.757
"103078","103078-4",0.0459777,0.901322,0.820379,0.0572203,0.0919554,370.457,0.954022,1039.7,1009.33,0.0820399,0.913402,0.847934,25.8223,0.306494,0.172791,253,610.281,896.757
"104010","104010-0",0.10998,0.804826,0.69362,0.106187,0.210452,1248.81,0.89002,1000.87,1712.5,0.0747026,0.701445,1.53247,25.7245,0.283567,0.430304,252,612.702,1588.11
"104010","104010-1",0.0896367,0.842916,0.716634,0.0585769,0.175381,5.9217,0.910363,1000.87,1712.5,0.0747026,0.701445,1.53195,25.7245,0.283567,0.430304,252,612.702,1588.11
"104010","104010-2",0.118445,0.809775,0.625892,0.128362,0.233289,506.165,0.881555,1000.87,1712.5,0.0747026,0.701445,2.11226,25.7245,0.283567,0.430304,252,612.702,1588.11
"104010","104010-3",0.0826484,0.810234,0.759218,0.0710185,0.163717,247.539,0.917352,1000.87,1712.5,0.0747026,0.701445,1.10863,25.7245,0.283567,0.430304,252,612.702,1588.11
"104010","104010-4",0.169947,0.725656,0.741762,0.144613,0.313074,76.1902,0.830053,1000.87,1712.5,0.0747026,0.701445,1.26356,25.7245,0.283567,0.430304,252,612.702,1588.11
"104055","104055-0",0.0458805,0.881076,0.811043,0.080377,0.0916898,14.5434,0.954119,438.004,853.693,0.0826608,0.912676,0.910153,18.1244,0.31823,0.383433,254,607.878,774.492
"104055","104055-1",0.0460424,0.86969,0.825487,0.078367,0.0920849,314.02,0.953958,438.004,853.693,0.0826608,0.912676,0.89202,18.1244,0.31823,0.383433,254,607.878,774.492
"104055","104055-2",0.0394298,0.883369,0.84132,0.0777652,0.0788596,9.09958,0.96057,438.004,853.693,0.0826608,0.912676,0.807862,18.1244,0.31823,0.383433,254,607.878,774.492
"104055","104055-3",0.0529725,0.848071,0.825202,0.0915168,0.105945,19.1724,0.947028,438.004,853.693,0.0826608,0.912676,0.845543,18.1244,0.31823,0.383433,254,607.878,774.492
"104055","104055-4",0.0365088,0.896348,0.866848,0.072981,0.0730177,13.9937,0.963491,438.004,853.693,0.0826608,0.912676,0.728311,18.1244,0.31823,0.383433,254,607.878,774.492
"105027","105027-0",0.0409648,0.852475,0.907939,0.0712093,0.0819295,114.831,0.959035,521.269,1859.04,0.0720271,0.786861,0.579356,14.8723,0.296358,0.178701,260,593.85,1302.35
"105027","105027-1",0.04783,0.850299,0.826281,0.0819636,0.09566,54.4018,0.95217,521.269,1859.04,0.0720271,0.786861,1.11199,14.8723,0.296358,0.178701,260,593.85,1302.35
"105027","105027-2",0.042694,0.851983,0.90999,0.077362,0.085388,4.13281,0.957306,521.269,1859.04,0.0720271,0.786861,0.55104,14.8723,0.296358,0.178701,260,593.85,1302.35
"105027","105027-3",0.0420464,0.852488,0.884295,0.0703361,0.0840927,3.91632,0.957954,521.269,1859.04,0.0720271,0.786861,0.667816,14.8723,0.296358,0.178701,260,593.85,1302.35
"105027","105027-4",0.0404078,0.854554,0.894187,0.0699296,0.0808155,436.072,0.959592,521.269,1859.04,0.0720271,0.786861,0.628954,14.8723,0.296358,0.178701,260,593.85,1302.35
"106005","106005-0",0.0265478,0.87776,0.933003,0.0816176,0.0530955,7.08593,0.973452,390.512,1359.48,0.120597,0.963277,0.509028,16.2995,0.261073,0.202853,250,617.604,847.339
"106005","106005-1",0.0168652,0.925583,0.935484,0.0529734,0.0337304,455.433,0.983135,390.512,1359.48,0.120597,0.963277,0.412066,16.2995,0.261073,0.202853,250,617.604,847.339
"106005","106005-2",0.016211,0.925098,0.971984,0.0546119,0.0324221,0.74653,0.983789,390.512,1359.48,0.120597,0.963277,0.303613,16.2995,0.261073,0.202853,250,617.604,847.339
"106005","106005-3",0.0148639,0.914515,0.970025,0.0681363,0.0297278,201.186,0.985136,390.512,1359.48,0.120597,0.963277,0.341755,16.2995,0.261073,0.202853,250,617.604,847.339
"106005","106005-4",0.0494168,0.831594,0.803054,0.0894639,0.0988336,253.688,0.950583,390.512,1359.48,0.120597,0.963277,0.957311,16.2995,0.261073,0.202853,250,617.604,847.339
"106047","106047-0",0.0726614,0.908796,0.776211,0.072846,0.144766,0.815879,0.927339,780.212,882.204,0.145767,0.813945,1.20005,23.0087,0.238217,0.222316,253,610.281,838.711
"106047","106047-1",0.0193198,0.950674,0.855082,0.0341189,0.0386396,0.8735,0.98068,780.212,882.204,0.145767,0.813945,0.837845,23.0087,0.238217,0.222316,253,610.281,838.711
"106047","106047-2",0.0188729,0.950583,0.865552,0.0326391,0.0377459,0.717151,0.981127,780.212,882.204,0.145767,0.813945,0.836387,23.0087,0.238217,0.222316,253,610.281,838.711
"106047","106047-3",0.0202395,0.936464,0.895498,0.0458801,0.040479,122.44,0.97976,780.212,882.204,0.145767,0.813945,0.670679,23.0087,0.238217,0.222316,253,610.281,838.711
"106047","106047-4",0.0515929,0.909942,0.862752,0.0697777,0.103173,178.763,0.948407,780.212,882.204,0.145767,0.813945,0.81681,23.0087,0.238217,0.222316,253,610.281,838.711
"107014","107014-0",0.0709257,0.854638,0.769086,0.0932938,0.139338,52.1031,0.929074,610.082,1073.75,0.0707733,0.838146,1.67627,20.3008,0.289635,0.182849,253,610.281,1102.24
"107014","107014-1",0.130459,0.809924,0.674126,0.0939299,0.254338,620.619,0.869541,610.082,1073.75,0.0707733,0.838146,2.15773,20.3008,0.289635,0.182849,253,610.281,1102.24
"107014","107014-2",0.0623701,0.878239,0.763834,0.0879809,0.12474,11.4334,0.93763,610.082,1073.75,0.0707733,0.838146,1.85407,20.3008,0.289635,0.182849,253,610.281,1102.24
"107014","107014-3",0.122674,0.811925,0.772198,0.136575,0.245348,269.196,0.877326,610.082,1073.75,0.0707733,0.838146,1.42138,20.3008,0.289635,0.182849,253,610.281,1102.24
"107014","107014-4",0.145938,0.767242,0.660393,0.11162,0.28347,12.8273,0.854062,610.082,1073.75,0.0707733,0.838146,2.07155,20.3008,0.289635,0.182849,253,610.281,1102.24
"107045","107045-0",0.0517419,0.82173,0.820581,0.10163,0.103406,29.2441,0.948258,1033.35,1689.88,0.0923893,0.764972,0.946413,30.3127,0.279571,0.189432,253,610.281,1199.86
"107045","107045-1",0.0520398,0.791459,0.814907,0.100698,0.101793,70.5788,0.94796,1033.35,1689.88,0.0923893,0.764972,1.00765,30.3127,0.279571,0.189432,253,610.281,1199.86
"107045","107045-2",0.0555696,0.821692,0.796533,0.107794,0.10772,21.3352,0.94443,1033.35,1689.88,0.0923893,0.764972,1.03597,30.3127,0.279571,0.189432,253,610.281,1199.86
"107045","107045-3",0.115414,0.715054,0.80436,0.169928,0.221974,267.874,0.884586,1033.35,1689.88,0.0923893,0.764972,0.971086,30.3127,0.279571,0.189432,253,610.281,1199.86
"107045","107045-4",0.0560165,0.792735,0.839523,0.100062,0.111729,14.3667,0.943983,1033.35,1689.88,0.0923893,0.764972,0.842871,30.3127,0.279571,0.189432,253,610.281,1199.86
"107072","107072-0",0.0537691,0.853414,0.887506,0.114139,0.104397,211.581,0.946231,766.135,839.201,0.0750053,0.878872,0.636611,24.638,0.306352,0.172872,257,600.782,921.248
"107072","107072-1",0.0427523,0.905188,0.90535,0.090127,0.0813725,18.02,0.957248,766.135,839.201,0.0750053,0.878872,0.534462,24.638,0.306352,0.172872,257,600.782,921.248
"107072","107072-2",0.0954916,0.77927,0.864494,0.155894,0.187926,122.284,0.904508,766.135,839.201,0.0750053,0.878872,0.762288,24.638,0.306352,0.172872,257,600.782,921.248
"107072","107072-3",0.0607768,0.877073,0.833759,0.0912669,0.118147,69.1077,0.939223,766.135,839.201,0.0750053,0.878872,0.819722,24.638,0.306352,0.172872,257,600.782,921.248
"107072","107072-4",0.0559517,0.877171,0.87675,0.102844,0.110802,165.425,0.944048,766.135,839.201,0.0750053,0.878872,0.68722,24.638,0.306352,0.172872,257,600.782,921.248
"108004","108004-0",0.0379661,0.864684,0.845496,0.0389985,0.0759322,1.06545,0.962034,1337.8,1654.66,0.0550044,0.685974,0.840842,32.486,0.316131,0.167524,269,573.981,1485.7
"108004","108004-1",0.0371241,0.866031,0.835796,0.0410635,0.0742482,30.6461,0.962876,1337.8,1654.66,0.0550044,0.685974,0.89636,32.486,0.316131,0.167524,269,573.981,1485.7
"108004","108004-2",0.0386267,0.864755,0.874292,0.0481687,0.0772534,14.9512,0.961373,1337.8,1654.66,0.0550044,0.685974,0.730112,32.486,0.316131,0.167524,269,573.981,1485.7
